id_empleado,nombre_completo,primer_nombre,segundo_nombre,apellido_paterno,apellido_materno,fecha_de_nacimiento,fecha_de_inicio_vida_laboral,id_empresa_empleadora,empresa_empleadora,direccion_empresa,telefono_empresa,fecha_de_inicio,cargo,departamento,descripcion_del_puesto,id_jefe,nombre_completo_jefe,mejoras_al_departamento,asendido,aumento_de_sueldo,salario_diario,modalidad_de_pago,salario_mensual,fecha_de_salida,motivo_de_salida,idiomas,maximo_nivel_educativo,Habilidades_tecnicas,
1234567,Andrea Moreno Herrera,Andrea,-,Moreno,Herrera,10/2/1995,10/2/2013,71395648,Nexus Enterprises,"Avenida de la Luna 432, Colonia Bella Vista, Ciudad Juárez, Chihuahua",656-012-3456,10/2/2013,Ejecutivo de Cuentas,Ventas,"Gestiona y desarrolla relaciones con clientes existentes, identificando oportunidades de venta y brindando un excelente servicio al cliente.",71395648,Ana María Ramírez Herrera,TRUE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Habilidades de ventas, habilidades de negociación, servicio al cliente",
9876541,Ana Belén Medina López,Ana,Belén,Medina,López,11/5/1978,11/5/1996,29578346,Novus Solutions,"Avenida del Río 198, Colonia El Potrero, Ciudad Juárez, Chihuahua",656-098-7654,11/5/1996,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,29578346,Mario Alberto Hernández Delgado,TRUE,FALSE,FALSE,"$1,285.00 ",Quincenal,"$40,349.00 ",1/5/2002,Falta de reconocimiento o apreciación.,Español,Licenciatura,"Virtualización, creación y gestión de máquinas virtuales",
9876541,Ana Belén Medina López,Ana,Belén,Medina,López,11/5/1978,11/5/1996,35792468,FutureQuest Technologies,"Calle de los Pinos #321, Ciudad Juárez, Chihuahua",656-456-7890,1/10/2002,Desarrollador Web,Desarrollo de Software,Crea y mantiene sitios web funcionales y atractivos utilizando lenguajes de programación web.,85269625,Juan Pablo Ramírez López,FALSE,TRUE,FALSE,$793.45 ,Semanal,"$24,914.33 ",EMPLEO ACTUAL,,Español,Licenciatura,"Análisis de datos, minería de datos, visualización de información",
12345678,Jorge Eduardo Vales Cervantes,Jorge,Eduardo,Vales,Cervantes,10/22/2000,1/26/2018,79136802,Elite Ventures,"Calle del Lago #567, Ciudad Juárez, Chihuahua",656-890-1234,1/26/2018,Analista de Recursos Humanos,Recursos Humanos,"Realiza análisis y evaluaciones relacionados con la gestión del talento, desarrollo y retención de personal.",82573614,Pedro Juan Silva García,TRUE,FALSE,FALSE,$876.85 ,Quincenal,"$27,533.09 ",5/15/2020,Cambio de ubicación geográfica.,Inglés y Español,Licenciatura,"Cloud computing, configuración de servicios en la nube, escalabilidad",
12345678,Jorge Eduardo Vales Cervantes,Jorge,Eduardo,Vales,Cervantes,10/22/2000,1/26/2018,79140802,Visionary Solutions International Inc.,"Calle Primavera #098, Ciudad Juárez, Chihuahua",656-890-1234,5/17/2020,Especialista en Redes Sociales,Marketing Digital,Gestiona y desarrolla estrategias de marketing en redes sociales para aumentar la visibilidad y el compromiso de la marca.,56854543,María Camila Castro Sánchez,FALSE,FALSE,FALSE,$996.85 ,Quincenal,"$31,301.09 ",3/5/2021,Necesidad de cuidar a un familiar o hijo.,Inglés y Español,Licenciatura,"Virtualización, creación y gestión de máquinas virtuales",
12345678,Jorge Eduardo Vales Cervantes,Jorge,Eduardo,Vales,Cervantes,10/22/2000,1/26/2018,35795468,Crystal Clear Technologies Inc.,"Calle de la Montaña #234, Ciudad Juárez, Chihuahua",656-456-7890,3/7/2021,Consultor de Negocios,Consultoría,Brinda asesoramiento estratégico y soluciones empresariales a clientes para mejorar su rendimiento y eficacia.,43567546,Laura Isabel Rodríguez Torres,FALSE,FALSE,TRUE,"$1,116.85 ",Semanal,"$35,069.09 ",1/1/2022,Ambiente de trabajo tóxico.,Inglés y Español,Licenciatura,"Desarrollo de juegos, diseño de niveles, animación 3D",
12345678,Jorge Eduardo Vales Cervantes,Jorge,Eduardo,Vales,Cervantes,10/22/2000,1/26/2018,2479145,Alpha Omega Corp,"Avenida del Sol #432, Ciudad Juárez, Chihuahua",656-123-4567,1/3/2022,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,34546546,Antonia María González Sánchez,FALSE,FALSE,FALSE,"$1,236.85 ",Semanal,"$38,837.09 ",EMPLEO ACTUAL,,Inglés y Español,Licenciatura,"Big data, almacenamiento y procesamiento de grandes volúmenes de información",
21098763,Pedro Martínez García,Pedro,-,Martínez,García,7/12/1985,7/12/2003,68027791,Innovatech Systems,"Avenida de la Rosa #890, Ciudad Juárez, Chihuahua",656-789-0123,7/12/2003,Consultor de Negocios,Consultoría,Brinda asesoramiento estratégico y soluciones empresariales a clientes para mejorar su rendimiento y eficacia.,87264853,María López Mendoza,FALSE,FALSE,FALSE,$595.00 ,Semanal,"$18,683.00 ",9/12/2008,Robo o fraude en el lugar de trabajo.,Español,Licenciatura,"Desarrollo móvil, creación de aplicaciones para iOS y Android",
21098763,Pedro Martínez García,Pedro,-,Martínez,García,7/12/1985,7/12/2003,68028791,Quantum Innovations Systems Inc.,"Avenida del Sol #432, Ciudad Juárez, Chihuahua",656-789-0123,9/17/2008,Coordinador de Calidad,Calidad,Supervisa y coordina el cumplimiento de los estándares de calidad y procesos de mejora continua.,58294736,Carlos Eduardo García Sánchez,FALSE,FALSE,FALSE,$715.00 ,Semanal,"$22,451.00 ",11/17/2013,Inasistencia o llegadas tardías frecuentes.,Español,Licenciatura,"Big data, almacenamiento y procesamiento de grandes volúmenes de información",
21098763,Pedro Martínez García,Pedro,-,Martínez,García,7/12/1985,7/12/2003,2472135,Prime Solutions Corporation,"Avenida de los Pinos #321, Ciudad Juárez, Chihuahua",656-123-4567,11/22/2013,Consultor de Negocios,Consultoría,Brinda asesoramiento estratégico y soluciones empresariales a clientes para mejorar su rendimiento y eficacia.,59271386,Verónica Castro Mendoza,FALSE,FALSE,FALSE,$835.00 ,Semanal,"$26,219.00 ",EMPLEO ACTUAL,,Español,Licenciatura,"Ciberseguridad, detección de intrusiones, respuesta a incidentes",
